network,poolId,poolName,poolStatus,poolAddress,poolTimelock
scrollSepolia,1,3 month credit pool,1,0xA457970f2d9f0EDaaf027cD581336235c9E5A669,0xaFD64e8CBE22e2Bd81c3210B2b7AAa43309e7dc5
scrollSepolia,2,6 month credit pool,1,0xB82bEE913f0108ef871d3aa41521DcA061ddEf5F,0xbB5846504B0aF7906719292525dd2ab78Fd2A9De
scrollSepolia,3,12 month credit pool,1,0xeF28cb8E19A5bf067dBAf1BE2e9bB92070023e7D,0x627433Ab52a4303B888025528395E1EF2b310DEE
scrollSepolia,4,3 month circle USDC pool,0,0x6BE35a6551Cba93C30D54bf7E181594535a685fC,0x0000000000000000000000000000000000000000
scrollSepolia,5,6 month circle USDC pool,0,0x88D39133585a6BEbf04781beF3D18F74f91D349F,0x0000000000000000000000000000000000000000
scrollSepolia,6,12 month circle USDC pool,0,0xBC047B971EfBA967db8DDA8db68c2258CFC20d05,0x0000000000000000000000000000000000000000
scrollSepolia,7,Arf test receivable pool,1,0xD0bf87bB23316317ca29d59F5758f985b67D9496,0xdD6Cd56A19d405e5349666f57D877D41eCB658D5
